,a,b,c,d,e,f,g,h,i
18,72,213767,-162.44951590594746,0.00952655688032189,-10.00718681844809,8.962348931025705,25.180830449307443,33.56996407831394,-8.998462148567143
19,76,213771,-136.64591977869986,0.00952655688032189,-9.999907740613388,8.961860592824022,25.18270792276354,33.5440178683177,-9.056079536362553
20,80,213775,-157.7579529737211,0.00952655688032189,-10.014465896282793,8.961372254622342,25.184585396219646,33.42293555500185,-9.084888230260258
21,84,213779,-181.21576763485473,0.00952655688032189,-10.014465896282793,8.960883916420643,25.186462869675744,33.3537456616785,-9.084888230260283
22,88,213783,-192.9446749654221,0.00952655688032189,-10.029024051952184,8.96039557821896,25.18834034313183,33.267258295024334,-9.401783863135101
23,92,213787,-211.71092669432937,0.017337207108427788,-10.058140363290988,8.959907240017264,25.19021781658793,33.258609558358906,-9.430592557032831
24,96,213791,-232.8229598893497,0.017337207108427788,-10.058140363290988,8.959418901815582,25.192095290044033,33.267258295024334,-9.430592557032831
25,100,213795,-237.5145228215772,0.00952655688032189,-10.04358220762159,8.9589305636139,25.193972763500135,33.14617598170848,-9.718679496009969
26,104,213799,-258.62655601659753,0.00952655688032189,-9.992628662778692,8.958442225412202,25.195850236956236,33.025093668392635,-9.86272296549852
27,108,213803,-272.7012448132782,-0.006094743575890016,-9.963512351439896,8.95795388721052,25.19772771041232,33.025093668392635,-9.517018638725972
28,112,213807,-300.8506224066389,-0.006094743575890016,-9.883442495258201,8.957465549008838,25.199605183868425,32.86941640841513,-9.86272296549852
29,116,213811,-314.9253112033193,-0.006094743575890016,-9.701465549390718,8.95697721080714,25.201482657324522,32.79157777842636,-9.920340353293952
30,120,213815,-350.112033195021,0.00952655688032189,-9.388465202498637,8.956488872605458,25.203360130780627,32.8088752517572,-9.80510557770311
31,124,213819,-375.91562932226816,0.0017159066522158817,-9.031790388598367,8.956000534403762,25.205237604236725,32.687792938441355,-10.035575128884808
32,128,213823,-399.3734439834029,-0.013905393803995914,-8.71151096387159,8.95551219620208,25.207115077692826,32.549413151794674,-10.09319251668024
33,132,213827,-446.28907330567085,-0.02952669426020771,-8.41306877264892,8.955023858000397,25.20899255114891,32.4196821018134,-10.352470761759655
34,136,213831,-436.90594744121745,-0.045147994716419615,-8.114626581426243,8.9545355197987,25.210870024605015,32.27265357850131,-10.554131619043645
35,140,213835,-481.47579529737254,-0.0529586449445254,-7.765230845360669,8.956122618954193,25.212747498061116,32.177517475181716,-10.438896843452795
36,144,213839,-551.8492392807748,-0.0607692951726313,-7.357602486617502,8.9639360301812,25.2146249715172,32.00454274187336,-10.986262027509337
37,148,213843,-638.6431535269714,-0.0607692951726313,-6.8553461160232345,8.971749441408205,25.2165024449733,31.822919271899593,-11.389583742077328
38,152,213847,-739.5117565698481,-0.0685799454007372,-6.433159601610669,8.97956285263521,25.218379918429406,31.62399832859498,-11.620053293259033
39,156,213851,-816.9225449515907,-0.0763905956288432,-6.040089398536907,8.987376263862215,25.220257391885504,31.416428648624958,-11.792905456645311
40,160,213855,-863.8381742738593,-0.08420124585694899,-5.690693662471325,8.99518967508922,25.2221348653416,31.2348051786512,-11.965757620031585
41,164,213859,-882.6044260027666,-0.08420124585694899,-5.355856082075164,9.003003086316227,25.22401233879769,30.992640552019502,-12.426696722395
42,168,213863,-873.2213001383127,-0.08420124585694899,-5.079251124356581,9.010816497543232,25.225889812253794,30.72452971539156,-12.801209743065261
43,172,213867,-877.9128630705397,-0.08420124585694899,-4.817204322307404,9.018629908770222,25.22776728570989,30.56885245541403,-12.714783661372127
44,176,213871,-795.8105117565699,-0.08420124585694899,-4.576994753762314,9.026443319997226,25.229644759165993,30.41317519543653,-12.657166273576696
45,180,213875,-852.1092669432919,-0.08420124585694899,-4.453250430572432,9.034256731224232,25.231522232622098,30.145064358808575,-12.830018436962977
46,184,213879,-868.5297372060857,-0.08420124585694899,-4.402296885729534,9.042070142451239,25.23339970607818,29.851007312184393,-13.031679294246974
47,188,213883,-856.800829875519,-0.08420124585694899,-4.351343340886636,9.049883553678242,25.235277179534283,29.61749142221811,-13.17572276373554
48,192,213887,-852.1092669432919,-0.08420124585694899,-4.293110718209043,9.057696964905249,25.23715465299038,29.427219215578923,-12.97406190645155
49,196,213891,-852.1092669432919,-0.08420124585694899,-4.220319939862051,9.065510376132254,25.239032126446485,29.124513432289298,-13.37738362101953
50,200,213895,-863.8381742738593,-0.08420124585694899,-4.154808239349755,9.073323787359259,25.240909599902583,28.91694375231929,-13.521427090508087
51,204,213899,-852.1092669432919,-0.08420124585694899,-4.067459305333358,9.081137198586266,25.24278707335867,28.735320282345512,-13.290957539326389
52,208,213903,-842.7261410788385,-0.09201189608505489,-4.031063916159866,9.08895060981327,25.24466454681477,28.501804392379242,-13.204531457633248
53,212,213907,-830.9972337482711,-0.0998225463131609,-4.067459305333358,9.096764021040276,25.246542020270873,28.25963976574755,-13.118105375940114
54,216,213911,-821.6141078838177,-0.08420124585694899,-3.980110371316975,9.104577432267282,25.248419493726974,27.97423145578876,-13.319766233224097
55,220,213915,-852.1092669432919,-0.08420124585694899,-4.009226682655765,9.112390843494287,25.25029696718308,27.671525672499158,-13.435001008814961
56,224,213919,-838.0345781466117,-0.0763905956288432,-4.045622071829264,9.120204254721292,25.25217444063916,27.420712309202038,-13.55023578440581
57,228,213923,-873.2213001383127,-0.0685799454007372,-4.118412850176256,9.128017665948297,25.254051914095264,27.195845155901196,-13.953557498973797
58,232,213927,-830.9972337482711,-0.0607692951726313,-4.198482706357957,9.135831077175304,25.25592938755136,27.00557294926201,-13.521427090508102
59,236,213931,-807.5394190871368,-0.0607692951726313,-4.242157173366152,9.143745176691308,25.257806861007467,26.737462112634056,-13.57904447830352
60,240,213935,-847.4177040110649,-0.0529586449445254,-4.213040862027341,9.151961341074356,25.259684334463564,26.33962022602484,-14.03998358066694
61,244,213939,-842.7261410788385,-0.0529586449445254,-4.263994406870253,9.160177505457389,25.261561807919666,25.93312960275022,-14.472113989132641
62,248,213943,-777.0442600276626,-0.0685799454007372,-4.489645819745931,9.16839366984042,25.263439281375753,25.924480866084792,-13.694279253894376
63,252,213947,-828.6514522821576,-0.0685799454007372,-4.729855388291014,9.176609834223452,25.265316754831854,25.639072556126017,-13.751896641689807
64,256,213951,-812.2309820193639,-0.0529586449445254,-4.744413543960405,9.184825998606499,25.267194228287956,25.362312982832655,-13.924748805076074
65,260,213955,-795.8105117565699,-0.045147994716419615,-4.758971699629804,9.193042162989531,25.269071701744053,25.120148356200964,-13.86713141728065
66,264,213959,-828.6514522821576,-0.045147994716419615,-4.8244834001421,9.201258327372564,25.27094917520014,24.860686256238438,-13.86713141728065
67,268,213963,-807.5394190871368,-0.045147994716419615,-4.919111411993185,9.209474491755596,25.272826648656245,24.58392668294507,-13.406192314917252
68,272,213967,-816.9225449515907,-0.045147994716419615,-4.999181268174887,9.217690656138629,25.274704122112343,24.393654476305883,-13.204531457633248
69,276,213971,-786.4273858921167,-0.0529586449445254,-5.152041902703573,9.225906820521676,25.279410843762697,24.142841113008792,-13.521427090508087
70,280,213975,-791.1189488243431,-0.0529586449445254,-5.32673977073636,9.234122984904708,25.28694681360731,23.92662269637335,-13.377383621019522
71,284,213979,-772.3526970954358,-0.045147994716419615,-5.515995794438545,9.24233914928774,25.294482783451922,23.684458069741652,-13.463809702712663
72,288,213983,-772.3526970954358,-0.037337344488313606,-5.7780425964877224,9.250555313670771,25.302018753296537,23.485537126437052,-13.146914069837823
73,292,213987,-765.3153526970955,-0.02171604403210181,-6.112880176883898,9.25877147805382,25.309554723141172,23.30391365646328,-12.8588271308607
74,296,213991,-777.0442600276626,-0.006094743575890016,-6.520508535627066,9.266987642436852,25.31709069298577,23.09634397649326,-13.262148845428673
75,300,213995,-772.3526970954358,0.00952655688032189,-6.942695050039632,9.275203806819885,25.324626662830397,22.906071769854073,-12.743592355269847
76,304,213999,-772.3526970954358,0.00952655688032189,-7.357602486617502,9.283419971202918,25.332162632675015,22.7244482998803,-12.541931497985846
77,308,214003,-772.3526970954358,0.00952655688032189,-7.721556378352474,9.291636135585964,25.33969860251961,22.586068513233613,-12.253844559008716
78,312,214007,-777.0442600276626,0.0017159066522158817,-8.136463814930345,9.299852299968997,25.347234572364243,22.421742516590683,-12.109801089520154
79,316,214011,-760.6237897648689,0.0017159066522158817,-8.6241620298552,9.308068464352028,25.35477054220886,22.24876778328234,-12.02337500782701
80,320,214015,-760.6237897648689,0.0017159066522158817,-9.111860244780061,9.31628462873506,25.362306512053475,22.07579304997399,-11.93694892613388
81,324,214019,-760.6237897648689,-0.006094743575890016,-9.555883992696721,9.324500793118109,25.369842481898086,21.894169580000202,-11.908140232236164
82,328,214023,-765.3153526970955,-0.006094743575890016,-9.927116962266396,9.332716957501141,25.377378451742704,21.703897373361016,-11.93694892613388
83,332,214027,-760.6237897648689,-0.006094743575890016,-10.138210219472683,9.340933121884174,25.384914421587318,21.52227390338726,-12.080992395622442
84,336,214031,-765.3153526970955,0.00952655688032189,-10.269233620497275,9.337514754472368,25.392450391431932,21.340650433413487,-12.253844559008716
85,340,214035,-791.1189488243431,0.00952655688032189,-10.414815177191258,9.334096387060546,25.39998636127655,21.16767570010512,-12.109801089520154
86,344,214039,-807.5394190871368,0.017337207108427788,-10.538559500381147,9.330678019648726,25.407522331121164,20.986052230131364,-12.167418477315582
87,348,214043,-821.6141078838177,0.025147857336533685,-10.625908434397545,9.327259652236922,25.415058300965775,20.821726233488434,-12.109801089520154
88,352,214047,-852.1092669432919,0.017337207108427788,-10.742373679752731,9.3238412848251,25.422594270810393,20.62280529018382,-12.13860978341786
89,356,214051,-908.4080221300139,0.00952655688032189,-10.873397080777323,9.320422917413294,25.430130240655007,20.45847929354089,-12.052183701724726
90,360,214055,-934.2116182572615,0.0017159066522158817,-11.004420481801908,9.317004550001474,25.437666210499625,20.268207086901704,-12.167418477315575
91,364,214059,-960.0152143845091,-0.006094743575890016,-11.084490337983603,9.313586182589653,25.44520218034424,20.069286143597104,-12.225035865111
92,368,214063,-999.8934993084374,-0.006094743575890016,-11.128164804991798,9.310167815177849,25.452738150188853,19.8271215169654,-12.397888028497288
93,372,214067,-1025.6970954356848,0.0017159066522158817,-11.157281116330601,9.306749447766029,25.45619322286849,19.610903100329963,-12.541931497985857
94,376,214071,-1039.7717842323655,0.00952655688032189,-11.157281116330601,9.303331080354207,25.45556739838312,19.429279630356213,-12.570740191883573
95,380,214075,-1051.5006915629328,0.00952655688032189,-11.186397427669398,9.299912712942403,25.454941573897745,19.221709950386185,-12.801209743065275
96,384,214079,-1056.192254495159,0.00952655688032189,-11.208234661173492,9.296494345530581,25.45431574941239,18.988194060419893,-12.830018436962977
97,388,214083,-1051.5006915629328,0.00952655688032189,-11.237350972512296,9.293075978118777,25.453689924927016,18.79792185378072,-12.801209743065268
98,392,214087,-1051.5006915629328,0.017337207108427788,-11.251909128181687,9.289657610706955,25.45306410044166,18.573054700479858,-12.801209743065275
99,396,214091,-1044.4633471645925,0.017337207108427788,-11.302862673024585,9.286239243295135,25.452438275956286,18.365485020509837,-12.743592355269847
100,400,214095,-1044.4633471645925,0.017337207108427788,-11.45572330755327,9.28282087588333,25.451812451470914,18.149266603874402,-12.801209743065268
101,404,214099,-1035.0802213001384,0.00952655688032189,-11.644979331255456,9.27940250847151,25.451186626985557,18.114671657212718,-12.22503586511101
102,408,214103,-978.7814661134164,-0.006094743575890016,-11.746886420941252,9.275984141059704,25.45056080250019,17.760073453930616,-12.657166273576703
103,412,214107,-964.7067773167362,-0.006094743575890016,-11.732328265271853,9.272565773647884,25.44993497801483,17.638991140614756,-12.426696722395
